From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822343,146924.3,1385,31,2019-09-18T07:21:00,10680,2019-09-18T15:58:00,12900
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822426,144058,918,12,2019-09-18T07:17:00,10560,2019-09-18T10:31:00,14880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822459,142049.3,774,10,2019-09-18T09:27:00,11040,2019-09-18T09:27:00,18300
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822475,138983.2,1008,7,2019-09-18T07:00:00,9420,2019-09-18T07:00:00,9420
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822517,135795.9,968,7,2019-09-18T06:57:00,9180,2019-09-18T06:57:00,9180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822525,133936.9,1029,7,2019-09-18T06:55:00,9060,2019-09-18T06:55:00,9060
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822533,131572.1,822,11,2019-09-18T07:13:00,10260,2019-09-18T09:13:00,17460
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822608,156583.2,794,13,2019-09-18T13:21:00,11280,2019-09-18T14:41:00,16020
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822715,161241.4,955,13,2019-09-18T13:34:00,11580,2019-09-18T14:54:00,16380
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822772,165070.8,903,13,2019-09-18T13:40:00,11880,2019-09-18T15:01:00,16740
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822814,158151.4,1008,16,2019-09-18T08:09:00,13620,2019-09-18T09:11:00,17280
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008822848,159288.2,942,13,2019-09-18T08:07:00,13500,2019-09-18T10:07:00,20700
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008824158,165852.5,852,16,2019-09-18T07:53:00,12720,2019-09-18T10:23:00,21720
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008824224,162739.5,981,16,2019-09-18T07:58:00,13020,2019-09-18T09:23:00,18000
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008824232,161823.2,977,16,2019-09-18T08:03:00,13200,2019-09-18T09:20:00,17820
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008824240,160858,996,16,2019-09-18T08:06:00,13380,2019-09-18T09:16:00,17640
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008829009,185353.3,174,0
